Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Sorcery,C,{2}{R},3,,,,0.02,,R
Creature — Dog Soldier,C,{1}{W},2,2,1,,0.08,Abzan,W
Creature — Dog Scout,C,{5}{R},6,3,3,,0.02,Temur,R
Creature — Kirin,C,{3}{W},4,2,3,,0.04,,W
Creature — Bear,C,{2}{G},3,4,2,,0.14,,G
Artifact,R,{1},1,,,,5,,
Legendary Creature — Human Soldier,M,{W}{B}{G},3,4,4,,1.08,Abzan,WBG
Creature — Goblin Berserker,R,{2}{R}{W}{B},5,2,2,,0.25,Mardu,RWB
Sorcery,U,{2}{R},3,,,,0.09,,R
Creature — Wall,C,{1}{G},2,0,5,,0.06,Abzan,BG
Creature — Human Soldier,U,{2}{W}{B}{G},5,4,4,,0.04,Abzan,WBG
Sorcery,C,{3}{R}{R},5,,,,0.03,Mardu,R
Creature — Phoenix,M,{2}{R}{R},4,4,1,,0.37,,R
Creature — Elephant Warrior,R,{2}{G}{U}{R},5,6,4,,0.1,Temur,UGR
Instant,C,{2}{G},3,,,,0.07,,G
Sorcery,C,{2}{R},3,,,,0.08,Temur,R
Creature — Human Warrior,U,{2}{G}{U}{R},5,2,2,,0.09,Temur,UGR
Instant,U,{5}{G},6,,,,0.17,Sultai,G
Creature — Orc Warrior,U,{3}{B},4,4,5,,0.08,Mardu,B
Sorcery,C,{3}{B},4,,,,0.02,,B
Instant,U,{4}{U},5,,,,0.03,,U
Land,C,,0,,,,0.12,,BR
Creature — Efreet Monk,C,{2}{R},3,3,1,,0.03,Jeskai,R
Creature — Efreet Shaman,C,{2}{R},3,0,5,,0.02,Jeskai,UR
Creature — Human Warrior,R,{B},1,2,1,,0.13,Mardu,B
Land,R,,0,,,,31.24,,
Land,C,,0,,,,0.1,,GW
Enchantment,U,{1}{W},2,,,,1.58,,W
Artifact,U,{X},0,,,,0.1,,
Instant,C,{3}{R},4,,,,0.02,,R
Instant,U,{4}{R},5,,,,0.06,,R
Creature — Demon,R,{1}{R}{W}{B},4,5,4,,0.14,Mardu,RWB
Instant,C,{1}{U}{U},3,,,,0.05,,U
Creature — Human Rogue,C,{4}{R},5,5,2,,0.02,Mardu,R
Creature — Human Warrior,U,{W}{B},2,3,2,,0.08,Mardu,WB
Creature — Human Warrior,U,{W}{B},2,2,3,,0.06,Abzan,WB
Creature — Shapeshifter,M,{2}{U}{U},4,0,0,,3.23,,U
Instant,R,{R}{W}{B},3,,,,0.25,Mardu,RWB
Artifact,U,{2},2,,,,0.12,,
Sorcery,R,{X}{R},1,,,,0.17,Temur,R
Instant,C,{2}{U},3,,,,0.04,,U
Creature — Wall,U,{4}{W},5,0,7,,0.07,Abzan,W
Sorcery,U,{9}{B},10,,,,0.08,Sultai,B
Sorcery,U,{3}{B}{G},5,,,,0.09,Sultai,BG
Enchantment — Aura,C,{1}{B},2,,,,0.03,,B
Instant,C,{W},1,,,,0.06,,W
Instant,R,{R}{W},2,,,,3.06,,RW
Sorcery,U,{B},1,,,,0.11,,B
Instant,R,{6}{U}{U},8,,,,0.45,Sultai,U
Instant,C,{1}{U},2,,,,0.07,,U
Land,C,,0,,,,0.09,,UB
Creature — Spirit Warrior,C,{B},1,0,4,,0.06,Abzan,B
Enchantment — Aura,U,{2}{R},3,,,,0.11,Temur,R
Legendary Artifact — Equipment,R,{4},4,,,,0.39,,
Creature — Human Wizard,U,{1}{U},2,0,6,,0.06,Jeskai,U
Instant,C,{3}{G},4,,,,0.03,,G
Creature — Human Monk,R,{3}{R}{R},5,3,3,,0.17,Jeskai,R
Sorcery,R,{4}{W}{B}{G},7,,,,0.24,Abzan,WBG
Sorcery,C,{3}{B},4,,,,0.04,,B
Creature — Efreet Monk,C,{3}{U}{R}{W},6,4,3,,0.03,Jeskai,URW
Creature — Elemental,C,{U},1,0,3,,0.06,Temur,GU
Instant,M,{X}{X}{B}{B}{B}{B},4,,,,0.35,Sultai,B
Sorcery,R,{3}{W}{W},5,,,,0.31,,W
Instant,C,{W},1,,,,0.05,,W
Instant,C,{1}{W},2,,,,0.03,,W
Instant,C,{1}{G},2,,,,0.1,Temur,G
Creature — Human Berserker,C,{W},1,1,1,,0.01,Mardu,RW
Land,R,,0,,,,29.61,,
Instant,R,{3}{U}{R}{W},6,,,,0.14,Jeskai,URW
Instant,C,{1}{U},2,,,,0.04,Temur,U
Basic Land — Forest,C,,0,,,,0.13,,
Land,U,,0,,,,0.36,Temur,UGR
Artifact — Equipment,R,{1},1,,,,0.26,,
Creature — Elemental,C,{5}{U},6,4,5,,0.01,Temur,U
Enchantment,U,{2}{R},3,,,,0.22,,R
Creature — Human Wizard,R,{2}{B},3,3,2,,0.67,Sultai,B
Creature — Bat,U,{1}{B},2,1,2,,0.14,,B
Enchantment,R,{G},1,,,,3.01,Abzan,G
Artifact — Equipment,U,{2},2,,,,0.05,,
Creature — Human Warrior,U,{1}{G},2,2,2,,0.1,Temur,G
Creature — Human Soldier,R,{W},1,1,2,,0.15,Abzan,W
Creature — Bird Soldier,R,{3}{W},4,3,4,,0.14,Abzan,W
Creature — Elk,C,{1}{G},2,2,1,,0.03,,G
Creature — Insect,U,{2}{R}{W},4,3,3,,0.04,Jeskai,RW
Creature — Snake Hydra,M,{X}{G}{G},2,0,0,,0.9,Sultai,G
Creature — Ape,C,{5}{G},6,4,4,,0.09,Sultai,G
Creature — Human Berserker,U,{1}{R},2,2,2,,0.04,Mardu,R
Sorcery,U,{1}{R}{R},3,,,,0.23,,R
Sorcery,R,{2}{R},3,,,,0.23,Mardu,R
Creature — Bird Shaman,U,{G}{U},2,2,2,,0.09,Temur,GU
Instant,R,{X}{U},1,,,,0.41,Temur,U
Sorcery,U,{3}{G}{G},5,,,,0.07,,G
Basic Land — Island,C,,0,,,,0.14,,
Creature — Elephant,R,{2}{W}{B}{G},5,5,7,,0.16,Abzan,WBG
Creature — Goblin Rogue,R,{1}{R},2,2,1,,0.16,Mardu,R
Enchantment,R,{U}{R}{W},3,,,,0.26,Jeskai,URW
Artifact,C,{3},3,,,,0.06,Jeskai,URW
Instant,U,{U}{R}{W},3,,,,0.13,Jeskai,URW
Creature — Human Monk,U,{1}{U},2,1,2,,0.08,Jeskai,U
Creature — Human Monk,C,{1}{W},2,1,3,,0.05,Jeskai,W
Creature — Bird Scout,C,{2}{U},3,2,1,,0.05,Jeskai,U
Land,C,,0,,,,0.08,,BG
Creature — Vampire,U,{2}{B},3,2,2,,0.1,Sultai,B
Creature — Zombie Crocodile,C,{4}{B},5,4,4,,0.06,Sultai,BG
Creature — Zombie Wizard,R,{3}{B}{G}{U},6,4,4,,0.13,Sultai,BGU
Creature — Naga Wizard,R,{3}{U},4,3,3,,0.16,Sultai,U
Instant,C,{2}{W},3,,,,0.07,,W
Sorcery,U,{B}{G},2,,,,0.1,,BG
Creature — Human Warrior,C,{G},1,1,1,,0.04,Abzan,G
Creature — Orc Warrior,C,{3}{B}{B},5,5,3,,0.03,Abzan,B
Creature — Human Monk,C,{1}{R},2,2,1,,0.03,Jeskai,RW
Artifact,C,{1},1,,,,0.06,,
Creature — Dog Archer,C,{3}{G},4,3,3,,0.12,Abzan,G
Creature — Human Monk,R,{U}{R}{W},3,3,3,,0.45,Jeskai,URW
Enchantment,R,{R}{W}{B},3,,,,0.38,Mardu,RWB
Artifact,C,{3},3,,,,0.13,Mardu,RWB
Creature — Ogre Warrior,U,{2}{R},3,4,4,,0.03,Mardu,R
Instant,U,{R}{W}{B},3,,,,0.11,Mardu,RWB
Creature — Human Warrior,C,{W},1,1,1,,0.07,Mardu,WB
Creature — Human Archer,U,{3}{R},4,2,3,,0.03,Mardu,R
Creature — Human Warrior,C,{2}{W},3,2,3,,0.05,Mardu,W
Creature — Orc Warrior,U,{2}{R}{W}{B},5,5,4,,0.05,Mardu,RWB
Creature — Human Warrior,C,{1}{B},2,2,1,,0.03,Mardu,B
Creature — Orc Shaman,C,{3}{R},4,3,3,,0.03,Mardu,RWB
Creature — Human Monk,R,{1}{W},2,2,2,,0.07,Jeskai,W
Sorcery,U,{3}{U}{R},5,,,,0.05,,UR
Creature — Turtle,R,{3}{G}{G},5,5,9,,0.13,Sultai,G
Creature — Orc Assassin,U,{3}{B},4,2,3,,0.11,Abzan,B
Instant,R,{X}{U}{R},2,,,,0.23,,UR
Creature — Djinn Wizard,U,{3}{U},4,3,1,,0.13,Jeskai,U
Enchantment — Aura,C,{B},1,,,,0.03,,B
Creature — Bird,C,{2}{U},3,0,5,,0.1,,U
Creature — Human Monk,U,{R},1,1,2,,0.45,Jeskai,R
Basic Land — Mountain,C,,0,,,,0.2,,
Instant,U,{4}{B},5,,,,0.24,Sultai,B
Land,U,,0,,,,0.36,Jeskai,URW
Creature — Human Monk,C,{4}{U},5,3,2,,0.07,Jeskai,U
Legendary Creature — Human Monk,M,{3}{U}{R}{W},6,3,2,,1.32,Jeskai,URW
Instant,C,{1}{G},2,,,,0.05,,G
Creature — Demon,R,{7}{B}{B},9,4,5,,0.12,Sultai,B
Land,U,,0,,,,0.85,Mardu,RWB
Land,U,,0,,,,0.32,Sultai,BGU
Creature — Leviathan,M,{5}{U}{U},7,6,7,,0.29,Jeskai,U
Creature — Elemental,U,{3}{G}{G},5,5,5,,0.06,Temur,G
Basic Land — Plains,C,,0,,,,0.08,,
Land,R,,0,,,,32.31,,
Creature — Goblin Warrior,C,{3}{R}{W}{B},6,2,2,,0.06,Mardu,RWB
Enchantment,U,{2}{U},3,,,,0.09,Jeskai,U
Enchantment,U,{3}{B},4,,,,0.1,,B
Creature — Cat Demon,R,{B}{G},2,2,2,,0.11,Sultai,BG
Creature — Cat Demon,R,{2}{B}{G}{U},5,4,4,,0.13,Sultai,BGU
Sorcery,C,{2}{B},3,,,,0.07,,B
Creature — Human Shaman,R,{1}{G},2,2,1,,0.62,Temur,UGR
Enchantment,R,{B},1,,,,0.35,Abzan,B
Instant,U,{R}{W},2,,,,0.06,,RW
Sorcery,C,{4}{B}{B},6,,,,0.06,,B
Creature — Djinn Monk,U,{5}{U},6,4,5,,0.04,Jeskai,U
Sorcery,U,{2}{G},3,,,,0.18,Temur,G
Creature — Zombie Elephant,C,{4}{B},5,2,8,,0.03,,B
Land,C,,0,,,,0.1,,GR
Sorcery,C,{3}{W},4,,,,0.06,,W
Creature — Human Assassin,U,{B},1,1,1,,0.11,Sultai,B
Creature — Djinn Wizard,R,{2}{U}{R}{W},5,3,4,,0.14,Jeskai,URW
Creature — Bird Warrior,C,{4}{W},5,1,5,,0.04,Jeskai,W
Creature — Naga Archer,C,{4}{G},5,2,5,,0.03,Sultai,G
Creature — Beast,R,{4}{G}{U},6,6,6,,0.16,,GU
Creature — Human Scout,C,{3}{W},4,2,5,,0.03,Abzan,W
Land,U,,0,,,,0.64,Abzan,WBG
Legendary Planeswalker — Sarkhan,M,{3}{R}{R},5,,,4,0.9,,R
Creature — Ogre Warrior,R,{G}{U}{R},3,4,4,,0.15,Temur,UGR
Sorcery,C,{1}{G},2,,,,0.11,Temur,G
Creature — Elemental,C,{3}{U},4,2,2,,0.02,Temur,UR
Creature — Elemental,U,{2}{U}{U},4,2,5,,0.05,Temur,U
Land,C,,0,,,,0.11,,WB
Sorcery,C,{2}{G},3,,,,0.08,Sultai,G
Enchantment,U,{G}{U},2,,,,0.07,,GU
Sorcery,M,{4}{G}{G},6,,,,0.53,Temur,G
Sorcery,U,{3}{G},4,,,,0.06,,G
Creature — Human Warrior,U,{1}{W},2,2,2,,0.14,Jeskai,W
Sorcery,U,{5}{U},6,,,,0.08,Sultai,U
Creature — Zombie,C,{7}{B},8,3,5,,0.08,Sultai,B
Instant,C,{1}{R},2,,,,0.02,,R
Legendary Creature — Naga Shaman,M,{1}{B}{G}{U},4,3,3,,0.44,Sultai,BGU
Creature — Zombie Ape,C,{3}{B},4,1,4,,0.04,Sultai,B
Creature — Rhino,R,{1}{W}{B}{G},4,4,5,,0.47,Abzan,WBG
Enchantment — Aura,C,{3}{W},4,,,,0.05,,W
Enchantment — Aura,C,{1}{U},2,,,,0.05,,U
Instant,C,{3}{W},4,,,,0.04,,W
Creature — Human Shaman,C,{1}{G},2,2,2,,0.05,Sultai,GU
Creature — Human Warrior,C,{3}{G}{U}{R},6,5,5,,0.04,Temur,UGR
Legendary Planeswalker — Sorin,M,{2}{W}{B},4,,,4,2.11,,WB
Instant,U,{U},1,,,,1.28,Temur,U
Enchantment,R,{B}{G}{U},3,,,,0.21,Sultai,BGU
Artifact,C,{3},3,,,,0.06,Sultai,BGU
Instant,U,{B}{G}{U},3,,,,0.11,Sultai,BGU
Creature — Naga Shaman,U,{3}{G},4,3,4,,0.05,Sultai,G
Creature — Bird Warrior,C,{5}{B},6,3,3,,0.06,Sultai,B
Creature — Naga Shaman,U,{2}{B}{G}{U},5,2,5,,0.05,Sultai,BGU
Creature — Yeti,C,{2}{R}{R},4,4,3,,0.01,,R
Legendary Creature — Human Warrior,M,{2}{G}{U}{R},5,6,6,,3.25,Temur,UGR
Enchantment,U,{1}{W},2,,,,0.05,,W
Basic Land — Swamp,C,,0,,,,0.12,,
Creature — Insect,U,{4}{B},5,0,0,,0.11,,B
Instant,C,{3}{R},4,,,,0.03,,R
Land,C,,0,,,,0.07,,UR
Sorcery,C,{1}{U},2,,,,0.12,Sultai,U
Instant,U,{4}{W},5,,,,0.03,,W
Enchantment,R,{G}{U}{R},3,,,,4.52,Temur,UGR
Artifact,C,{3},3,,,,0.1,Temur,UGR
Creature — Horse,U,{1}{G},2,3,1,,0.08,Temur,G
Instant,U,{G}{U}{R},3,,,,0.08,Temur,UGR
Land,C,,0,,,,0.09,,GU
Creature — Elemental,R,{4}{U}{U},6,5,6,,0.14,Jeskai,U
Instant,C,{4}{B},5,,,,0.04,,B
Creature — Human Warrior,U,{3}{W},4,3,2,,0.02,Mardu,W
Land,U,,0,,,,0.35,,
Sorcery,C,{1}{R},2,,,,0.1,,R
Enchantment,R,{1}{G},2,,,,0.11,,G
Land,C,,0,,,,0.08,,WU
Instant,R,{G}{U}{R},3,,,,0.2,Temur,UGR
Sorcery,C,{7}{U},8,,,,0.19,Sultai,U
Instant,C,{2}{R},3,,,,0.02,,R
Creature — Beast,C,{4}{G}{G},6,6,5,,0.03,,G
Creature — Human Warrior,U,{2}{G},3,2,3,,0.15,Abzan,G
Legendary Artifact,M,{5},5,,,,2.8,,
Creature — Orc Warrior,C,{3}{B},4,3,3,,0.03,Abzan,WB
Instant,R,{2}{W}{B},4,,,,0.26,,WB
Creature — Human Berserker,C,{1}{R},2,2,2,,0.04,Mardu,R
Creature — Lammasu,U,{6}{W},7,5,4,,0.03,,W
Sorcery,R,{X}{B}{G}{U},3,,,,0.29,Sultai,BGU
Creature — Beast,C,{5}{W},6,3,6,,0.03,Abzan,W
Creature — Djinn Wizard,U,{2}{U}{R}{W},5,3,3,,0.07,Jeskai,URW
Creature — Human Warrior,U,{1}{R},2,2,1,,0.08,Mardu,R
Creature — Bird Soldier,U,{2}{W},3,2,1,,0.05,Abzan,W
Instant,U,{4}{U}{U},6,,,,0.04,,U
Instant,C,{3}{U},4,,,,0.02,,U
Creature — Elk,C,{1}{U},2,2,1,,0.02,,U
Creature — Djinn Monk,C,{4}{U},5,4,2,,0.04,Jeskai,U
Land,C,,0,,,,0.08,,RW
Instant,U,{X}{G},1,,,,0.08,,G
Land,R,,0,,,,18.69,,
Creature — Bird,M,{3}{W}{W},5,3,4,,0.33,Mardu,W
Instant,U,{1}{U}{R},3,,,,0.01,,UR
Artifact Creature — Golem,U,{6},6,4,4,,0.02,,
Land,R,,0,,,,29.72,,
Creature — Elephant Warrior,C,{5}{G}{G},7,6,7,,0.05,Temur,G
Legendary Creature — Orc Warrior,M,{2}{R}{W}{B},5,7,2,,0.42,Mardu,RWB
Creature — Ooze,U,{3}{G}{G},5,2,2,,0.21,,G
Creature — Human Cleric,C,{B},1,0,1,,0.12,,B
Sorcery,U,{2}{R},3,,,,0.09,,R
Creature — Elemental,U,{3}{U}{U},5,4,4,,0.03,,U
Legendary Planeswalker — Ajani,M,{2}{W}{W},4,,,4,7.18,,W
Creature — Siren,U,{1}{U},2,1,1,,0.12,,U
Artifact,U,{2},2,,,,0.11,,
Instant,C,{2}{W}{W},4,,,,0.16,,W
Creature — Insect,R,{3}{G}{G},5,5,5,,1.08,,G
Enchantment — Aura,U,{3}{W},4,,,,0.2,,W
Sorcery,C,{2}{B},3,,,,0.09,,B
Creature — Human Druid,U,{2}{G},3,1,1,,0.03,,G
Creature — Elemental,R,{R}{R}{R},3,6,1,,1.32,,R
Creature — Angel,M,{3}{W}{W},5,5,5,,3.13,,W
Creature — Human Berserker,C,{4}{R},5,4,4,,0.03,,R
Creature — Bird,R,{G},1,0,1,,12.72,,G
Creature — Human Knight,U,{B}{B},2,2,2,,0.2,,B
Creature — Human Wizard,C,{1}{W},2,1,2,,0.06,,W
Creature — Wraith,U,{3}{B},4,3,3,,0.35,,B
Creature — Dragon,M,{6}{R}{R},8,5,5,,0.56,,R
Creature — Human Scout Ranger,C,{2}{G},3,2,2,,0.1,,G
Sorcery,C,{4}{G},5,,,,0.08,,G
Creature — Elemental,C,{4}{G},5,0,3,,0.06,,G
Sorcery,C,{R},1,,,,1.54,,R
Sorcery,C,{R},1,,,,0.11,,R
Instant,C,{1}{U}{U},3,,,,0.06,,U
Creature — Minotaur Warrior,C,{3}{R},4,3,3,,0.1,,R
Creature — Efreet,R,{4}{R}{R},6,6,4,,0.18,,R
Creature — Human Soldier,R,{4}{W}{W},6,3,3,,0.54,,W
Instant,U,{1}{W},2,,,,0.07,,W
Creature — Zombie,R,{1}{B}{B},3,2,2,,0.72,,B
Creature — Centaur Warrior,C,{2}{G},3,3,3,,0.08,,G
Legendary Planeswalker — Chandra,M,{3}{R}{R},5,,,6,0.9,,R
Creature — Vampire,C,{1}{B},2,2,1,,0.05,,B
Creature — Shapeshifter,R,{3}{U},4,0,0,,0.33,,U
Artifact,R,{5},5,,,,16.21,,
Sorcery,U,{X}{1}{B},2,,,,0.13,,B
Enchantment — Aura,C,{1}{U},2,,,,0.11,,U
Creature — Merfolk,C,{1}{U},2,2,1,,0.04,,U
Creature — Wurm,C,{4}{G}{G},6,6,4,,0.07,,G
Creature — Troll,U,{2}{G}{G},4,4,3,,0.03,,G
Artifact Creature — Golem,M,{11},11,11,11,,11.57,,
Creature — Spider,C,{1}{G},2,1,2,,0.15,,G
Sorcery,U,{B},1,,,,0.08,,B
Artifact,U,{2},2,,,,0.15,,
Sorcery,U,{2}{B}{B},4,,,,0.69,,B
Sorcery,C,{B},1,,,,0.08,,B
Instant,C,{3}{U},4,,,,0.04,,U
Sorcery,C,{2}{U},3,,,,0.1,,U
Instant,C,{3}{W},4,,,,0.08,,W
Creature — Djinn,R,{3}{U}{U},5,4,4,,0.25,,U
Instant,C,{1}{B},2,,,,0.2,,B
Creature — Dragon,U,{2}{R}{R},4,2,3,,0.07,,R
Artifact,U,{2},2,,,,0.2,,
Land,R,,0,,,,4.66,,BR
Creature — Human Wizard Warlock,C,{1}{B}{B},3,2,2,,0.08,,B
Land,R,,0,,,,7.64,,UB
Creature — Skeleton,C,{1}{B},2,1,1,,0.09,,B
Sorcery,C,{B},1,,,,0.18,,B
Sorcery,R,{X}{R},1,,,,1.17,,R
Creature — Human Soldier,U,{W},1,2,1,,0.14,,W
Creature — Elf Druid,R,{1}{G}{G},3,2,2,,1.17,,G
Creature — Elf Shaman,R,{3}{G},4,1,1,,6.8,,G
Creature — Elf Shaman,C,{1}{G},2,1,1,,0.11,,G
Creature — Antelope,C,{3}{G},4,2,3,,0.07,,G
Creature — Beast,U,{6}{G},7,7,7,,0.09,,G
Enchantment — Aura,C,{3}{G},4,,,,0.06,,G
Instant,C,{1}{U},2,,,,0.09,,U
Sorcery,C,{2}{W},3,,,,0.05,,W
Sorcery,U,{2}{U},3,,,,6.08,,U
Creature — Elemental Dog,C,{1}{R}{R},3,2,2,,0.03,,R
Sorcery,U,{X}{R},1,,,,0.13,,R
Enchantment — Aura,C,{R},1,,,,0.05,,R
Instant,U,{1}{U},2,,,,0.04,,U
Instant,C,{G},1,,,,0.14,,G
Basic Land — Forest,C,,0,,,,0.17,,
Land,R,,0,,,,0.21,,
Legendary Planeswalker — Garruk,M,{2}{G}{G},4,,,3,6.22,,G
Instant,C,{G},1,,,,0.07,,G
Creature — Spider,C,{3}{G},4,2,4,,0.04,,G
Land,R,,0,,,,4.86,,WU
Instant,C,{1}{W},2,,,,0.05,,W
Creature — Goblin Warrior,U,{1}{R}{R},3,1,3,,0.12,,R
Creature — Goblin,R,{1}{R}{R},3,2,2,,2.58,,R
Creature — Goblin Warrior,C,{1}{R},2,2,1,,0.1,,R
Artifact — Equipment,U,{2},2,,,,1.94,,
Creature — Zombie,C,{3}{B},4,2,2,,0.04,,B
Creature — Elk,R,{1}{G}{G},3,3,3,,0.42,,G
Creature — Griffin,C,{2}{W},3,1,3,,0.03,,W
Creature — Angel,R,{2}{W}{W},4,3,4,,0.87,,W
Instant,U,{W},1,,,,0.14,,W
Sorcery,R,{3}{B}{B},5,,,,0.25,,B
Enchantment,R,{5}{U},6,,,,6.56,,U
Enchantment — Aura,C,{W},1,,,,0.04,,W
Enchantment,R,{1}{W},2,,,,0.77,,W
Creature — Turtle,C,{2}{U},3,1,4,,0.05,,U
Sorcery,U,{6}{G},7,,,,0.17,,G
Creature — Spirit,U,{2}{B}{B},4,3,3,,0.08,,B
Artifact,R,{2},2,,,,4.45,,
Creature — Specter,R,{1}{B}{B},3,2,2,,1.45,,B
Enchantment — Aura,C,{1}{U},2,,,,0.04,,U
Instant,U,{1}{R},2,,,,0.06,,R
Creature — Illusion,C,{1}{U}{U},3,3,4,,0.11,,U
Enchantment — Aura,R,{3}{W},4,,,,1.5,,W
Creature — Elemental,U,{4}{R}{R},6,4,4,,0.09,,R
Basic Land — Island,C,,0,,,,0.1,,
Legendary Planeswalker — Jace,M,{1}{U}{U},3,,,3,3.96,,U
Creature — Jackal,C,{R},1,2,2,,0.14,,R
Instant,C,{U},1,,,,0.12,,U
Creature — Beast,R,{5}{G}{G},7,9,9,,0.26,,G
Creature — Bat,C,{2}{B},3,2,1,,0.2,,B
Instant,C,{R},1,,,,0.03,,R
Artifact,U,{2},2,,,,0.09,,
Sorcery,C,{4}{R},5,,,,0.03,,R
Enchantment,U,{2}{U}{U},4,,,,0.17,,U
Enchantment — Aura,C,{W},1,,,,0.25,,W
Instant,C,{R},1,,,,0.73,,R
Creature — Elemental,C,{3}{R},4,4,1,,0.06,,R
Creature — Human Knight,R,{3}{W}{W},5,4,4,,0.2,,W
Legendary Planeswalker — Liliana,M,{3}{B}{B},5,,,5,8.1,,B
Creature — Elf Druid,C,{G},1,1,1,,0.24,,G
Creature — Shade,C,{2}{B},3,1,1,,0.03,,B
Enchantment,R,{4}{G}{G},6,,,,6.77,,G
Artifact — Equipment,R,{3},3,,,,2.53,,
Creature — Phoenix,R,{3}{R}{R},5,3,3,,0.22,,R
Enchantment,R,{3}{R},4,,,,0.63,,R
Creature — Human Shaman,M,{2}{G}{G},4,3,3,,3.63,,G
Enchantment,U,{2}{B},3,,,,0.27,,B
Creature — Merfolk Rogue,C,{1}{U},2,1,1,,0.1,,U
Creature — Merfolk Noble,R,{1}{U}{U},3,2,2,,0.65,,U
Creature — Human Druid,R,{1}{W}{W},3,0,2,,1.91,,W
Instant,R,{3}{G},4,,,,0.25,,G
Enchantment — Aura,U,{3}{U}{U},5,,,,0.18,,U
Sorcery,C,{2}{B},3,,,,0.06,,B
Sorcery,R,{X}{B}{B},2,,,,0.23,,B
Sorcery,R,{X}{U}{U},2,,,,0.27,,U
Artifact,R,{5},5,,,,0.45,,
Creature — Cat,C,{3}{G},4,3,2,,0.12,,G
Creature — Fungus Snake,U,{G},1,1,1,,0.17,,G
Basic Land — Mountain,C,,0,,,,0.14,,
Instant,C,{1}{G},2,,,,0.06,,G
Sorcery,U,{1}{G},2,,,,0.09,,G
Instant,C,{1}{U},2,,,,0.14,,U
Creature — Nightmare Horse,R,{5}{B},6,*,*,,0.25,,B
Enchantment — Aura,C,{2}{G},3,,,,0.1,,G
Sorcery,R,{4}{W}{W},6,,,,2.05,,W
Artifact Creature — Thopter,U,{0},0,0,2,,0.29,,
Sorcery,U,{2}{G}{G}{G},5,,,,0.3,,G
Enchantment — Aura,C,{1}{W},2,,,,0.05,,W
Creature — Human Soldier,C,{2}{W},3,1,4,,0.09,,W
Sorcery,C,{2}{R},3,,,,0.03,,R
Creature — Illusion Warrior,U,{1}{U}{U},3,2,2,,0.06,,U
Artifact,R,{1},1,,,,1.32,,
Basic Land — Plains,C,,0,,,,0.23,,
Sorcery,R,{3}{W}{W}{W},6,,,,0.24,,W
Artifact Creature — Angel,M,{7},7,4,4,,9.24,,
Sorcery,R,{3}{U},4,,,,1.82,,U
Sorcery,C,{U},1,,,,2.3,,U
Creature — Unicorn,U,{3}{G},4,2,2,,0.12,,G
Creature — Human Wizard,U,{2}{R},3,1,1,,0.07,,R
Creature — Hydra,M,{X}{G},1,0,0,,5.1,,G
Sorcery,U,{1}{R},2,,,,0.16,,R
Creature — Goblin Berserker,C,{R},1,1,1,,0.1,,R
Sorcery,C,{1}{G},2,,,,0.25,,G
Creature — Griffin,C,{3}{W},4,2,2,,0.02,,W
Instant,C,{1}{G},2,,,,0.13,,G
Creature — Rat,U,{1}{B}{B},3,2,2,,1.66,,B
Creature — Rhino Soldier,U,{2}{W}{W},4,3,3,,0.16,,W
Instant,U,{W},1,,,,0.1,,W
Sorcery,U,{4}{B},5,,,,0.07,,B
Artifact,U,{4},4,,,,0.03,,
Land,R,,0,,,,4.71,,GR
Creature — Human Assassin,R,{1}{B}{B},3,1,1,,1.37,,B
Creature — Bear,C,{1}{G},2,2,2,,0.12,,G
Instant,C,{2}{W},3,,,,0.08,,W
Creature — Bird,C,{1}{U},2,1,1,,0.13,,U
Enchantment,R,{3}{B}{B},5,,,,2.78,,B
Instant,C,{2}{R},3,,,,0.09,,R
Creature — Serpent,C,{4}{U},5,*,*,,0.11,,U
Creature — Angel,U,{3}{W}{W},5,4,4,,0.11,,W
Instant,C,{1}{R},2,,,,0.03,,R
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.15,,R
Creature — Elephant,C,{4}{W},5,3,5,,0.04,,W
Creature — Goblin,R,{3}{R}{R},5,2,2,,1.25,,R
Sorcery,C,{B}{B},2,,,,0.27,,B
Instant,R,{W},1,,,,6.18,,W
Creature — Cat,C,{1}{W},2,2,2,,0.06,,W
Sorcery,U,{2}{U}{U},4,,,,0.21,,U
Creature — Drake,C,{3}{U},4,3,2,,0.02,,U
Sorcery,C,{2}{W},3,,,,0.03,,W
Enchantment — Aura,C,{2}{B},3,,,,0.07,,B
Creature — Human Cleric,C,{W},1,1,1,,1.48,,W
Creature — Human Wizard,C,{1}{R},2,1,1,,0.07,,R
Artifact,U,{0},0,,,,1.44,,
Creature — Sphinx,M,{5}{U}{U},7,5,5,,10.3,,U
Creature — Rhino,C,{4}{G},5,4,4,,0.07,,G
Creature — Giant,U,{2}{R}{R},4,3,4,,0.05,,R
Creature — Pegasus,C,{1}{W},2,2,1,,0.1,,W
Land,R,,0,,,,4.29,,GW
Basic Land — Swamp,C,,0,,,,0.09,,
Enchantment,U,{U},1,,,,0.19,,U
Instant,U,{2}{W},3,,,,0.09,,W
Instant,C,{3}{B},4,,,,0.11,,B
Land,C,,0,,,,0.25,,
Sorcery,M,{3}{U}{U},5,,,,13.23,,U
Sorcery,C,{U},1,,,,0.21,,U
Sorcery,R,{3}{U}{U},5,,,,3.92,,U
Instant,C,{2}{R},3,,,,0.04,,R
Instant,R,{U}{U},2,,,,5.82,,U
